sales_line_id,order_id,product_id,product_name,quantity,unit_selling_price,discount_pct,standard_cost
SOL0000035,SO000028,P005,Ecran 27 pouces,2,295.08,0,182
SOL0000036,SO000028,P002,Smartphone X5,1,799.29,5,520
SOL0000037,SO000028,P006, Clavier Meca,1,"110,0",0,54
SOL0000038,SO000029,P005,Ecran 27 pouces,3,306.23,12,182
SOL0000039,SO000030,P004,Casque Audio Max,2,180.27,5,86
SOL0000040,SO000031,P002,Smartphone X5,7,752.68,10,520
SOL0000041,SO000032,P008,T-Shirt Essential,16,22.19,10,8
SOL0000042,SO000033,P004,Casque Audio Max,13,155.7,5,86
SOL0000043,SO000034,P012,Lampe LED Desk,1,43.4,8,18
SOL0000044,SO000034,P008,T-Shirt Essential,2,23.83,5,8
SOL0000045,SO000035,P001,Laptop 14 Pro,3,1213.5,10,760
SOL0000046,SO000036,P005,Ecran 27 pouces,3,289.42,10,182
SOL0000047,SO000036,P009,Veste Urban,1,134.86,12,63
SOL0000048,SO000037,P012,Lampe LED Desk,2,43.24,8,18
SOL0000049,SO000037,P007,Chaussures City,2,95.12,5,39
SOL0000050,SO000038,P009,Veste Urban,2,140.64,8,63
SOL0000051,SO000038,P011,Chaise Ergo,3,218.94,10,124
SOL0000052,SO000039,P007,Chaussures City,4,90.79,10,39
SOL0000053,SO000040,P007,Chaussures City,1,93.53,12,39
SOL0000054,SO000041,P002,Smartphone X5,13,787.35,10,520
SOL0000055,SO000042,P003,Tablette Air 11,3,623.12,0,395
SOL0000056,SO000043,P008,T-Shirt Essential,4,23.91,12,8
SOL0000057,SO000043,P009,Veste Urban,4,134.39,10,63
SOL0000058,SO000044,P008,T-Shirt Essential,2,24.05,8,8
SOL0000059,SO000044,P008,T-Shirt Essential,4,22.98,15,8
SOL0000060,SO000045,P010,Sac a dos Metro,2,72.35,5,31
SOL0000061,SO000046,P004,Casque Audio Max,1,179.74,0,86
SOL0000062,SO000046,P011,Chaise Ergo,3,216.14,0,124
SOL0000063,SO000047,P007,Chaussures City,2,96.12,5,39
SOL0000064,SO000048,P003,Tablette Air 11,2,627.5,5,395
SOL0000065,SO000049,P012,  Lampe LED Desk  ,2,43.47,12,18
SOL0000066,SO000050,P007,Chaussures City,19,82.01,0,39
SOL0000067,SO000051,P006,Clavier Meca,1,105.85,5,54
SOL0000068,SO000052,P005,Ecran 27 pouces,2,300.14,15,182
SOL0000069,SO000053,P001,Laptop 14 Pro,4,1177.77,10,760
SOL0000070,SO000054,P007,Chaussures City,7,82.41,0,39
SOL0000071,SO000055,P009,Veste Urban,1,138.27,12,63
SOL0000072,SO000056,P002,Smartphone X5,4,850.41,0,520
SOL0000073,SO000057,P005,Ecran 27 pouces,1,285.49,0,182
SOL0000074,SO000057,P003,Tablette Air 11,3,628.11,5,395
SOL0000075,SO000057,P009,Veste Urban,1,138.36,5,63
SOL0000076,SO000058,P011,Chaise Ergo,1,222.88,0,124
SOL0000077,SO000059,P012,Lampe LED Desk,8,40.66,0,18
SOL0000078,SO000060,P003,Tablette Air 11,3,638.78,10,395
SOL0000079,SO000060,P009,Veste Urban, 4.0 ,140.05,8,63
SOL0000080,SO000061,P006,Clavier Meca,1,103.13,10,54
SOL0000081,SO000062,P001,Laptop 14 Pro,4,1204.72,10,760
SOL0000082,SO000063,P012,Lampe LED Desk,4,43.74,0,18
SOL0000083,SO000063,P012,Lampe LED Desk,2,43.18,10,18
SOL0000084,SO000064,P005,Ecran 27 pouces,6,258.24,5,182
SOL0000085,SO000064,P003,Tablette Air 11,11,566.51,8,395
SOL0000086,SO000065,P009,Veste Urban,1,138.8,0,63
SOL0000087,SO000066,P005,Ecran 27 pouces,2,295.15,5,182
SOL0000088,SO000066,P004,Casque Audio Max,2,168.91,5,86
SOL0000089,SO000067,P004,Casque Audio Max,1,171.97,8,86
SOL0000090,SO000067,P007,Chaussures City,4,96.02,8,39
SOL0000091,SO000067,P001,Laptop 14 Pro,1.0,1212.77,,760
SOL0000092,SO000068,P004,Casque Audio Max,1,180.15,5,86
SOL0000093,SO000068,P006,Clavier Meca,2,105.81,0,54
SOL0000094,SO000069,P012,Lampe LED Desk,9,40.56,12,18
SOL0000095,SO000069,P011,Chaise Ergo,3,187.52,8,124
SOL0000096,SO000070,P005,Ecran 27 pouces,3,297.05,5,182
SOL0000097,SO000071,P004,Casque Audio Max,3,184.84,8.0,86
SOL0000098,SO000072,P010,Sac a dos Metro,15,67.83,10,31
SOL0000099,SO000072,P003,Tablette Air 11,13,544.77,10,395
SOL0000100,SO000072,P012,Lampe LED Desk,8,38.64,12,18
SOL0000101,SO000073,P011,Chaise Ergo,1,219.15,0,124
SOL0000102,SO000074,P003,Tablette Air 11,4,641.41,0,395
SOL0000103,SO000074,P004,Casque Audio Max,1,184.86,5,86
SOL0000104,SO000075,P011,Chaise Ergo,13,188.49,10,124
SOL0000105,SO000075,P001,laptop 14 pro,13,1086.1,0,760
SOL0000106,SO000076,P012,Lampe LED Desk,12,38.24,5,18
SOL0000107,SO000077,P008,T-Shirt Essential,1,23.53,0,8
SOL0000108,SO000077,P007,Chaussures City,1,93.99,12,39
SOL0000109,SO000078,P005,Ecran 27 pouces,1,299.71,5,182
SOL0000110,SO000079,P006,Clavier Meca,4,110.96,12,54
SOL0000111,SO000079,P010,Sac a dos Metro,6,76.68,10,31
SOL0000112,SO000079,P003,Tablette Air 11,4,627.78,10,395
SOL0000113,SO000080,P004,Casque Audio Max,4,175.91,15,86
SOL0000114,SO000081,P001,Laptop 14 Pro,1,1155.12,0,760
SOL0000115,SO000082,P003,Tablette Air 11,2,591.31,5,395
SOL0000116,SO000082,P002,Smartphone X5,1,862.2,5,520
SOL0000117,SO000083,P004,Casque Audio Max,4,184.44,5,86
SOL0000118,SO000083,P004,Casque Audio Max,2,176.83,5,86
SOL0000119,SO000084,P012,Lampe LED Desk,1,43.61,0,18
SOL0000120,SO000084,P001,Laptop 14 Pro,1,1212.27,0,760
SOL0000121,SO000085,P007,Chaussures City,1,94.25,5,39
SOL0000122,SO000086,P004,Casque Audio Max,1,184.75,10,86
SOL0000123,SO000086,P005,Ecran 27 pouces,3,308.18,10,182
SOL0000124,SO000086,P003,Tablette Air 11,4,627.52,12,395
SOL0000125,SO000087,P010,Sac a dos Metro,2,73.1,8,31
SOL0000126,SO000088,P007,Chaussures City,6,96.42,0,39
SOL0000127,SO000089,P002,Smartphone X5,1,802.98,0,520
SOL0000128,SO000090,P010,Sac a dos Metro,1,76.34,10,31
SOL0000129,SO000091,P010,Sac a dos Metro,4,76.9,0,31
SOL0000130,SO000092,P012,Lampe LED Desk,4,43.15,0,18
SOL0000131,SO000092,P003,Tablette Air 11, 1.0 ,"619,74",0,395
SOL0000132,SO000093,P005,Ecran 27 pouces,2,294.64,0,182
SOL0000133,SO000094,P011,Chaise Ergo,3,204.24,12,124
SOL0000134,SO000095,P006,Clavier Meca,2,112.94,10,54
SOL0000135,SO000096,P002,Smartphone X5,9,769.41,8,520
SOL0000136,SO000097,P012,Lampe LED Desk , 11.0 ,38.35,10,18
SOL0000137,SO000098,P006,Clavier Meca,1,110.85,0,54
SOL0000138,SO000099,P007,Chaussures City,3,94.02,0,39
SOL0000139,SO000099,P012,Lampe LED Desk,2,44.0,0,18
SOL0000140,SO000100,P009,Veste Urban,1,135.31,8,63
SOL0000141,SO000101,P003,Tablette Air 11,1,633.84,0,395
SOL0000142,SO000101,P011,  Chaise Ergo  ,2,219.09,0,124
SOL0000143,SO000101,P008,T-Shirt Essential,3,23.67,0,8
SOL0000144,SO000102,P011,Chaise Ergo,4,216.14,0,124
SOL0000145,SO000102,P010,Sac a dos Metro,2,76.57,0,31
SOL0000146,SO000103,P001,Laptop 14 Pro,10,1057.16,0,760
SOL0000147,SO000104,P005,Ecran 27 pouces,8,267.44,5,182
SOL0000148,SO000105,P011,Chaise Ergo,3,212.81,0,"124,0"
SOL0000149,SO000106,P006,Clavier Meca,1,104.53,5,54
SOL0000150,SO000107,P012,Lampe LED Desk,2,43.72,5,18
SOL0000151,SO000108,P005,Ecran 27 pouces,4,299.46,5,182
SOL0000152,SO000108,P007,Chaussures City,5,95.13,8,39
SOL0000153,SO000108,P002,Smartphone X5,1,867.95,8,520
SOL0000154,SO000109,P012,Lampe LED Desk,2,45.72,5,18
SOL0000155,SO000110,P001,Laptop 14 Pro,2,1135.74,0,760
SOL0000156,SO000111,P004,Casque Audio Max,1,180.57,0,86
SOL0000157,SO000112,P003,Tablette Air 11,4,635.88,8,395
SOL0000158,SO000112,P012,Lampe LED Desk,2,43.49,0, 18.0 
SOL0000159,SO000113,P012,Lampe LED Desk,4,45.68,0,18
SOL0000160,SO000114,P012,Lampe LED Desk,3,43.8,10,18
SOL0000161,SO000114,P008,T-Shirt Essential,3,23.87,8,8
SOL0000162,SO000115,P007,Chaussures City,13,86.99,12,39
SOL0000163,SO000116,P011,Chaise Ergo,7,193.59,5,124
SOL0000164,SO000116,P001,Laptop 14 Pro,"4,0",1073.79,5.0,760
SOL0000165,SO000117,P002,Smartphone X5,11,736.62,0,520
SOL0000166,SO000117,P007,Chaussures City,19,87.86,0,39
SOL0000167,SO000118,P001,Laptop 14 Pro,13,1054.69,8,760
SOL0000168,SO000119,P005,Ecran 27 pouces,3,294.54,8,182
SOL0000169,SO000120,P005,Ecran 27 pouces,2,282.81,0,182
SOL0000170,SO000121,P009,Veste Urban,2,144.16,10,63
SOL0000171,SO000122,P005,Ecran 27 pouces,4,268.16,8,182
SOL0000172,SO000123,P004,Casque Audio Max,4, 185.68 ,5,86
SOL0000173,SO000123,P011,Chaise Ergo,3,210.8,10,124
SOL0000174,SO000124,P007,Chaussures City,4,96.4,0,39
SOL0000175,SO000124,P009 ,Veste Urban,"2,0",136.06,"0,0",63
SOL0000176,SO000125,P004,Casque Audio Max,2,177.0,0,86
SOL0000177,SO000125,P009,Veste Urban,1,135.26,0,63
SOL0000178,SO000126,P003,Tablette Air 11,3,643.18,5,395
SOL0000179,SO000127,P009,Veste Urban,2,139.62,0,63
SOL0000180,SO000127,P001,Laptop 14 Pro,1,1178.88,10,760
SOL0000181,SO000127,P002,Smartphone X5,2,853.7,5,520
SOL0000182,SO000128,P010,Sac a dos Metro,1,74.53,12,31
SOL0000183,SO000129,P012,Lampe LED Desk,3,44.36,0,18
Sol0000184,SO000130,P003,Tablette Air 11,2,622.19,0,395
SOL0000185,SO000131,P003,Tablette Air 11,4,628.21,8,395
SOL0000186,SO000132,P002,Smartphone X5,1,835.0,0,520
 SOL0000187, SO000133,P007,Chaussures City,5,97.19,10,39
SOL0000188,SO000134,P006,Clavier Meca,2,107.5,0,54
SOL0000189,SO000135,P004,Casque Audio Max,1,172.89,5,86
SOL0000190,SO000135,P008,T-Shirt Essential,3,22.69,8,8
SOL0000191,SO000136,P004,Casque Audio Max,10,164.97,0,86
SOL0000192,SO000137,P004,Casque Audio Max,2,182.5,0,86
SOL0000193,SO000138,P004,Casque Audio Max,2,181.46,12,86
SOL0000194,SO000139,P005,Ecran 27 pouces,2,294.75,8,182
SOL0000195,SO000140,P007,Chaussures City,3,96.35,0, 39.0 
SOL0000196,SO000141,P001,Laptop 14 Pro,1,1198.76,0,760
SOL0000197,SO000141,P008,T-Shirt Essential,2,22.73,5,8
SOL0000198,SO000141,P008,T-Shirt Essential,1,24.15,5,8
SOL0000199,SO000142,P001,Laptop 14 Pro,1,1152.88,0,760
SOL0000200,so000143,P010,Sac a dos Metro,6.0,74.51,8,"31,0"
SOL0000201,SO000144,P006,Clavier Meca,7,96.72,8,54
SOL0000202,SO000145,P009,Veste Urban,2,143.46,10,63
SOL0000203,SO000146,P005,Ecran 27 pouces,3,285.21,0,182
SOL0000204,SO000147,P006,Clavier Meca,4,94.75,5,54
SOL0000205,SO000148,P012,Lampe LED Desk,2,43.58,10,18
SOL0000206,SO000149,P007,Chaussures City,1,89.5,5,39
SOL0000207,SO000150,P004,Casque Audio Max,4,178.77,10,86
SOL0000208,SO000150,P001,Laptop 14 Pro,1,1173.74,10,760
SOL0000209,SO000150,P009,Veste Urban,3,141.39,10,63
SOL0000210,SO000151,P010,Sac a dos Metro,1,69.9,12,31
SOL0000211,SO000151,P006,Clavier Meca,3,108.52,12,54
SOL0000212,SO000152,P007,Chaussures City,2,90.07,0,39
SOL0000213,SO000153,P007,Chaussures City,5,96.61,0,39
SOL0000214,SO000153,P010,Sac a dos Metro,4,74.86,0,31
SOL0000215,so000153,P007,Chaussures City,5,98.15,0,39
SOL0000216,SO000154,P011,Chaise Ergo,"1,0",215.69,12,124
SOL0000217,SO000155,P009,Veste Urban,3,137.13,12,63
SOL0000218,SO000156,P012,Lampe LED Desk,2,44.78,8,18
SOL0000219,SO000157,P004,Casque Audio Max,3,174.77,10,86
SOL0000220,SO000158,P007,Chaussures City,4,96.81,5,39
SOL0000221,SO000159,P010,Sac a dos Metro,1,70.16,0,31
SOL0000222,SO000159,P011,Chaise Ergo,1,216.01,0,124
SOL0000223,SO000160,P001,Laptop 14 Pro,7,1092.13,0,760
SOL0000224,SO000161,P005,Ecran 27 pouces,3,293.46,5,182
SOL0000225,SO000162,P011,Chaise Ergo,1,214.93,10,124
SOL0000226,SO000163,P010,Sac a dos Metro,1,71.85,0,31
SOL0000227,SO000164,P012,Lampe LED Desk,5,38.38,5,18
SOL0000228,SO000164,P012,Lampe LED Desk,8,40.19,8,18
SOL0000229,SO000164,P011,Chaise Ergo,3,189.35,12,124
SOL0000230,SO000165,P005,Ecran 27 pouces,2,287.3,0,182
SOL0000231,SO000166,P008,T-Shirt Essential,5,23.7,0,8
SOL0000232,SO000166,P007,Chaussures City,6,95.87,10,39
SOL0000233,SO000167,P002,Smartphone X5,3,837.66,0,520
SOL0000234,SO000168,P011,Chaise Ergo,1,204.92,5,124
SOL0000235,SO000169,P002,Smartphone X5,4,882.57,10,520
SOL0000236,SO000170,P004,Casque Audio Max,7,163.4,8,86
SOL0000237,SO000170,P003,Tablette Air 11,10,565.5,5,395
SOL0000238,  SO000171  ,P001,Laptop 14 Pro,1,1218.18,5,760
SOL0000239,SO000172,P005,Ecran 27 pouces,3,284.66,5,182
SOL0000240,SO000172,P005,Ecran 27 pouces,3,299.2,10,182
SOL0000241,SO000172,P009,Veste Urban,3,131.84,5,63
SOL0000242,SO000173,P009,Veste Urban,2,140.87,5,63
SOL0000243,SO000173,P006,Clavier Meca,1,112.58,0,54
SOL0000244,SO000174,P003,Tablette Air 11,12,573.63,5,395
SOL0000245,SO000175,P006,Clavier Meca,4,110.25,5,54
SOL0000246,SO000176,P007,Chaussures City,7,86.75,0,39
SOL0000247,SO000177 ,P003,Tablette Air 11,7,546.43,0,395
SOL0000248,SO000178,P010,Sac a dos Metro,10,67.07,0,31
SOL0000249,SO000179,P005,Ecran 27 pouces,1,290.33,0,182
SOL0000250,SO000180,P008,T-Shirt Essential,2,24.33,8,8
SOL0000251,SO000180,P008,T-Shirt Essential,2,24.38,8,8
SOL0000252,SO000181,P005,Ecran 27 pouces,2,297.69,10,182
SOL0000253,SO000182,P012,Lampe LED Desk,1,41.88,0,18
SOL0000254,SO000182,P007,Chaussures City,1,89.97,0,39
SOL0000255,SO000183,P004,Casque Audio Max,2,182.32,0,86
SOL0000256,SO000183,P012,Lampe LED Desk,4,45.19,0,18
SOL0000257,SO000183,P003,Tablette Air 11,2,644.62,0,395
SOL0000258,SO000184,P002,Smartphone X5,2,809.29,0,520
SOL0000259,SO000185,P001,Laptop 14 Pro,1,1170.21,5,760
SOL0000260,SO000185,P007,Chaussures City,3,95.25,0,39
SOL0000261,SO000186,P003,Tablette Air 11,2,623.02,5,395
SOL0000262,SO000186,P009,Veste Urban,2,140.77,12,63
SOL0000263,SO000187,P012,Lampe LED Desk,1,44.0,10,18
SOL0000264,SO000188,P005,Ecran 27 pouces,2,287.32,5,182
SOL0000265,SO000189,P007,Chaussures City,3,92.72,10,39
SOL0000266,SO000190,P004,Casque Audio Max,2,185.16,0,86
SOL0000267,SO000191,P007,Chaussures City,3,89.47,0,39
SOL0000268,SO000192,P012,Lampe LED Desk,2,44.23, 0.0 ,18.0
SOL0000269,SO000192,p003,Tablette Air 11,1,653.45,0,395
SOL0000270,SO000193,P004,Casque Audio Max,3,182.18,8,86
SOL0000271,SO000194,P006,Clavier Meca,3,104.65,10,54
SOL0000272,SO000195,P009,Veste Urban,4,142.25,0,63
SOL0000273,SO000196,P008,T-Shirt Essential,2,24.22,0,8
SOL0000274,SO000197,P005,Ecran 27 pouces,5,270.76,0,182
SOL0000275,SO000198,P010,Sac a dos Metro,3,72.75,5,31
SOL0000276,SO000198,P001,Laptop 14 Pro,4,1184.67,0,760
SOL0000277,SO000199,P006,Clavier Meca,1,111.13,8,54
SOL0000278,SO000200,P009,Veste Urban,22,119.8,0,63
SOL0000279,SO000201,P008,T-Shirt Essential,8,20.82,10,8
SOL0000280,SO000202,P009,Veste Urban,3,132.93,10,63
SOL0000281,SO000202,P008,T-Shirt Essential,"4,0",24.08,10,8
SOL0000282,SO000203,P009,Veste Urban,19,124.73,0,63
SOL0000283,SO000204,P008,T-Shirt Essential,18,22.16,8,8
SOL0000284,SO000205 ,P003,Tablette Air 11,1,,10,395.0
SOL0000285,SO000206,P011,Chaise Ergo,11,196.99,8,124
SOL0000286,SO000206,P010,Sac a dos Metro, 6.0 ,65.8,12,31
SOL0000287,SO000206,P004,Casque Audio Max,4,156.02,12,86
SOL0000288,SO000207,P008,T-Shirt Essential,3,23.57,10,8
SOL0000289,SO000208,P009,Veste Urban,4,140.2,,63
SOL0000290,SO000208,P004,Casque Audio Max,2,178.43,0,86
SOL0000291,SO000209,P004,Casque Audio Max,10,160.13,12,86
SOL0000292,SO000210,P009,Veste Urban,2,131.78,8,63
SOL0000293,SO000210,P004,Casque Audio Max,2,173.24,10,86
SOL0000294,SO000211 ,P007,Chaussures City,1,97.9,8.0,39
SOL0000295,SO000212,P001,Laptop 14 Pro,2,1189.41,12,760
SOL0000296,SO000213,P012,Lampe LED Desk,1,44.31,5,18
SOL0000297,SO000213,P011,Chaise Ergo,3,214.04,8,124
SOL0000298,SO000214,P003,Tablette Air 11,2,629.47,12,395
SOL0000299,SO000215,P008,T-SHIRT ESSENTIAL,NA,21.73,10.0,8
SOL0000300,SO000216,P008,T-Shirt Essential,2,23.0,8,8
SOL0000301,SO000217,P002,Smartphone X5,1,800.91,12,520
SOL0000302,SO000217,P001,Laptop 14 Pro,2,1145.26,12,760
SOL0000303,SO000218,P009,Veste Urban,18,128.91,0, 63.0 
SOL0000304,SO000218,P005,Ecran 27 pouces,9,268.29,0,182
SOL0000305,SO000219,P010,Sac a dos Metro,4,71.12,5,31
SOL0000306,SO000220,P012,Lampe LED Desk,3,42.16,10,18
SOL0000307,SO000220,P002,Smartphone X5,3,859.38,10,520
SOL0000308,SO000221,P009,Veste Urban,5,143.21,8,63
SOL0000309,SO000221,P009,Veste Urban,3,138.45,12,63
SOL0000310,SO000222,P001,Laptop 14 Pro,3,1201.07,10,760
SOL0000311,SO000223,P002,Smartphone X5,1,799.77,0,520
SOL0000312,SO000223,P006,Clavier Meca,2,106.25,5,54
SOL0000313,SO000224,P001,Laptop 14 Pro,3,1160.99,12,760
SOL0000314,SO000225,P002,Smartphone X5,2,872.1,10,520
SOL0000315,SO000226,P012,Lampe LED Desk,1,42.0,8,18
SOL0000316,SO000227,P001,Laptop 14 Pro,3,1144.95,12,760
SOL0000317,SO000228,P004,Casque Audio Max,4,178.43,8,86
SOL0000318,SO000229,P011,Chaise Ergo,3,216.62,0,124
SOL0000319,SO000230,P003,Tablette Air 11,3,593.49,5,395
SOL0000320,SO000231,P003,Tablette Air 11,3,635.53,10,395
SOL0000321,SO000231,P008,T-Shirt Essential,1,23.86,5,8
SOL0000322,SO000232,P002,Smartphone X5,5,754.57,12,520
SOL0000323,SO000233,P012,Lampe LED Desk,2,45.64,5,18
SOL0000324,SO000234,P010,Sac a dos Metro,1,75.2,12,31
SOL0000325,SO000235,P001,Laptop 14 Pro,1,1130.12,10,
SOL0000326,SO000236,P010,Sac a dos Metro ,1,"75,14",0,31
SOL0000327,SO000237,P010,Sac a dos Metro,2,73.33,12,31
SOL0000328,SO000238,P011,Chaise Ergo,7,198.48,0,124
SOL0000329,SO000238,P001,Laptop 14 Pro,10,1091.71,0,760
SOL0000330,SO000239,P011,Chaise Ergo,2,217.75,5,124
SOL0000331,SO000240,P003,Tablette Air 11,1,626.11,10,395
SOL0000332,SO000240,P011,Chaise Ergo,1,206.84,8,124
SOL0000333,SO000241,P001,Laptop 14 Pro,3,1200.24,12,760
SOL0000334,SO000241,P001,Laptop 14 Pro,3,1148.96,8,760
SOL0000335,SO000242,P007,Chaussures City,2,94.05,10,39
SOL0000336,SO000242,P002,Smartphone X5,1,877.36,8,520
SOL0000337,SO000243,P008,T-Shirt Essential ,3,23.0,0,8
SOL0000338,SO000244,P007,Chaussures City,4,92.07,8,39
SOL0000339,SO000245,P011,Chaise Ergo,2,210.45,0,124
SOL0000340,SO000246,P011,Chaise Ergo,8,198.83,8,124
SOL0000341,SO000247,P011,Chaise Ergo,2,204.34,5,124
SOL0000342,SO000248,P005,Ecran 27 pouces,2,300.83,15,182
SOL0000343,SO000249,P002,Smartphone X5,8,762.32,5,520
SOL0000344,SO000250,P012,Lampe LED Desk,3,44.28,8,18
SOL0000345,so000250,P011,Chaise Ergo,"1,0",213.21,5,124
SOL0000346,SO000251,P008,T-Shirt  Essential,4,23.0,8,8
SOL0000347,SO000251,P009,Veste Urban,1,135.6,8,63
SOL0000348,SO000251,P003,Tablette Air 11,3,630.63,10,395
SOL0000349,SO000252,P007,Chaussures City,1,94.85,0,39
SOL0000350,SO000252,P004,Casque Audio Max,1,178.44,10,86
SOL0000351,SO000253,P012,Lampe LED Desk,1,44.33,0,18
SOL0000352,SO000254,P005,Ecran 27 pouces,4,301.39,0,182
SOL0000353,SO000255,P010,Sac a dos Metro,17,67.55,0,31
SOL0000354,SO000256,P003,Tablette Air 11,4,633.07,10,395
SOL0000355,SO000257,P004,Casque Audio Max,3,179.8,12,86
SOL0000356,SO000257,P002,Smartphone X5,3,861.24,15,520
SOL0000357,SO000258,P002,Smartphone X5,1,855.59,5,520
SOL0000358,SO000258,P006,Clavier Meca,3,110.16,0,54
SOL0000359,SO000259,P012,Lampe LED Desk,2,44.38,0,18
SOL0000360,SO000259,P009,Veste Urban,3,142.0,0,63
SOL0000361,SO000260,P003,Tablette Air 11,3,601.86,10,395
SOL0000362,SO000260,P010,Sac a dos Metro,3,75.47,0,31
SOL0000363,SO000261,P004,Casque Audio Max,1,177.32,0,86
SOL0000364,SO000262,P010,Sac a dos Metro,6,68.02,8,31
SOL0000365,SO000262,P003,Tablette Air 11,9,562.41,0,395
SOL0000366,SO000263,P011,Chaise Ergo,3,212.97,8,124
SOL0000367,SO000264,P006,Clavier Meca,4,94.33,8,54
SOL0000368,SO000265,P005,Ecran 27 pouces,2,300.25,8,182
SOL0000369,SO000266,P004,Casque Audio Max,2,172.07,0,86
SOL0000370,SO000266,P006,Clavier Meca,1,109.8,8,54
SOL0000371,SO000267,P010,Sac a dos Metro,1,74.06,5,31
SOL0000372,SO000268,P011,Chaise Ergo,10,193.25,8,124
SOL0000373,SO000269,P004,Casque Audio Max,3,176.17,8,86
SOL0000374,SO000270,P008,T-Shirt Essential,6,24.79,5,8
SOL0000375,SO000271,P010,Sac a dos Metro,3,70.68,10,31
SOL0000376,SO000272,P002,Smartphone X5,2,855.81,0,520
SOL0000377,SO000272,P011,Chaise Ergo,1,211.77,10,124
SOL0000378,SO000273,P012,Lampe LED Desk,2,44.5,10,18
Sol0000379,SO000274,P012,Lampe LED Desk,1,44.0,0,18
SOL0000380,SO000274,P009,Veste Urban,4,137.7,0,63
SOL0000381,SO000274,P008,T-Shirt Essential,NA,22.88,0,8
SOL0000382,SO000275,P004,Casque Audio Max,6,162.74,0,"86,0"
SOL0000383,SO000275,P004,Casque Audio Max,6,163.74,0,86
SOL0000384,SO000276,P004,Casque Audio Max,1,175.08,0,86
SOL0000385,SO000276,P007,Chaussures City,2,95.16,0,39
SOL0000386,SO000276,P010,Sac a dos Metro,1,70.66,0,31
SOL0000387,SO000277,P011,Chaise Ergo,3,220.12,10,124
SOL0000388,SO000278,P002,Smartphone X5,4,879.44,5,520
SOL0000389,SO000279,P007,Chaussures City,13,84.81,10,39
SOL0000390,SO000280,P011,Chaise Ergo,2,215.55,0,124
SOL0000391,SO000281,P001,Laptop 14 Pro,4,1226.05,0,760
SOL0000392,SO000282,P006,Clavier Meca,1,110.36,0,54
SOL0000393,SO000282,P007,Chaussures City,3,95.97,0,39.0
SOL0000394,SO000283,P001,Laptop 14 Pro,3,1181.89,0,760
SOL0000395,SO000284,P006,Clavier Meca,2,109.22,0,54
SOL0000396,SO000285,P012 ,Lampe LED Desk,2,42.15,0,18
SOL0000397,SO000286,P009,Veste Urban,4,143.28,0,63
SOL0000398,SO000287,P008,T-Shirt Essential,18,21.31,0,8
SOL0000399,SO000287,P002,Smartphone X5,11,785.85,0,520
SOL0000400,SO000288,P006,Clavier Meca,2,111.09,5,54
SOL0000401,SO000289,P009,Veste Urban,4,142.7,8,63
SOL0000402,SO000290,P004,Casque Audio Max,2,178.8,5,86
SOL0000403,SO000290,P009,Veste Urban,5,140.62,12,63
SOL0000404,SO000291,P007,Chaussures City,4,95.02,10,"39,0"
